"Крушунски водопади","Летница",43.2427249,25.0303127,"http://sinoptik.bg/letnitsa-bulgaria-100729646/10-days"
"Каньона на водопадите","Смолян",41.5799907,24.6573534,"http://sinoptik.bg/smolyan-bulgaria-100727030/10-days"
"Кая бунар","Кая бунар",43.1172248,25.5434453,"http://sinoptik.bg/veliko-turnovo-bulgaria-100725993/10-days"
"Рилска скакавица","Сапарева баня",42.3367193,23.2882241,"http://sinoptik.bg/sapareva-banya-bulgaria-100727441/10-days"
"Бистришки водопад","Сапарева баня",42.1958199,23.1845858,"http://sinoptik.bg/sapareva-banya-bulgaria-100727441/10-days"
"Скакля","Враца",43.1916406,23.5464844,"http://sinoptik.bg/vratsa-bulgaria-100725712/10-days"
"Боянски водопад","София",42.627848,23.2571718,"http://sinoptik.bg/sofia-bulgaria-100727011/10-days"
